,aX,aY,aZ,gX,gY,gZ
96,2.264404296875,-6.122802734375,-3.11572265625,440.1468811035156,572.5201416015625,-14.353230476379395
97,2.60107421875,-6.86279296875,-3.5322265625,497.2757873535156,589.5489501953125,22.32889747619629
98,2.920654296875,-7.48876953125,-3.909912109375,552.5126342773438,616.0382080078125,63.89384078979492
99,2.903564453125,-7.185302734375,-3.825927734375,577.4149780273438,630.9307861328125,142.3240203857422
100,3.11962890625,-7.383056640625,-3.85009765625,551.1698608398438,610.7891845703125,235.8298797607422
101,3.2548828125,-7.483642578125,-3.852783203125,529.3803100585938,576.7315673828125,356.3132629394531
102,3.1904296875,-7.11962890625,-3.697021484375,524.4974975585938,548.3502197265625,458.9743957519531
103,3.22265625,-7.109619140625,-3.5771484375,491.5384826660156,494.0899658203125,571.4011840820312
104,3.31298828125,-7.437255859375,-3.521484375,423.7894592285156,428.7823486328125,654.5310668945312
105,3.1435546875,-7.120849609375,-3.230224609375,340.4154357910156,351.6949462890625,736.1350708007812
106,2.559326171875,-5.892822265625,-2.555908203125,224.9369354248047,259.7149658203125,788.8084106445312
107,2.112060546875,-5.066162109375,-2.111083984375,134.7269744873047,203.5015869140625,780.0193481445312
108,1.9130859375,-4.89306640625,-1.969482421875,43.47941207885742,157.1148681640625,740.5906372070312
109,1.804931640625,-4.938720703125,-1.931396484375,-65.65145111083984,105.7232666015625,672.4754028320312
110,1.400634765625,-3.9365234375,-1.53076171875,-112.16024017333984,75.8770751953125,639.2112426757812
111,1.050048828125,-2.99169921875,-1.184814453125,-144.6919708251953,44.8101806640625,631.9480590820312
112,0.764892578125,-2.323974609375,-0.875244140625,-204.4453887939453,2.9400634765625,612.7219848632812
113,0.632080078125,-2.089599609375,-0.801025390625,-249.5503692626953,-19.3988037109375,581.0447387695312
114,0.598876953125,-2.060791015625,-0.812255859375,-289.7115173339844,-33.3148193359375,531.8504028320312
115,0.5654296875,-1.982666015625,-0.80615234375,-314.6138610839844,-36.3055419921875,461.2326965332031
116,0.636474609375,-2.10693359375,-0.856201171875,-324.1963806152344,-36.9769287109375,421.2546691894531
117,0.734130859375,-2.333740234375,-0.969482421875,-343.4224548339844,-41.0662841796875,402.9441223144531
118,0.75537109375,-2.23681640625,-0.942626953125,-391.7622985839844,-49.8553466796875,414.8459777832031
119,1.06884765625,-3.125,-1.343505859375,-444.6187438964844,-54.6771240234375,440.6028137207031
120,1.01171875,-3.1708984375,-1.419677734375,-509.7432556152344,-57.3016357421875,456.1667785644531
121,1.244873046875,-3.8837890625,-1.746826171875,-576.3936157226562,-46.1322021484375,478.8108215332031
122,1.785400390625,-5.223876953125,-2.353515625,-589.0889282226562,13.8653564453125,408.2541809082031
123,2.000244140625,-5.64306640625,-2.612548828125,-598.3662719726562,104.0753173828125,276.9065246582031
124,2.056884765625,-5.421630859375,-2.666259765625,-672.6460571289062,164.8052978515625,174.7336883544922
125,2.49755859375,-6.56982421875,-3.549072265625,-890.4194946289062,177.3785400390625,172.5364227294922
126,3.2138671875,-7.937255859375,-4.9345703125,-1076.5157470703125,198.8629150390625,151.6013641357422
127,3.859619140625,-7.937255859375,-5.677734375,-1056.9234619140625,337.1075439453125,-29.42891502380371
128,4.3759765625,-7.937255859375,-5.681884765625,-721.4131469726562,615.0006103515625,-295.3591003417969
129,3.85888671875,-7.937255859375,-4.908203125,-589.8213500976562,729.5635986328125,-340.5251159667969
130,3.450927734375,-7.937255859375,-4.549072265625,-629.1279907226562,759.4097900390625,-318.0641784667969
131,3.295654296875,-7.937255859375,-4.565185546875,-484.9629821777344,863.5968017578125,-324.5339050292969
